Id;ESP;EN
intro_0;Por fin... creo que he despertado. Fue un sueño muy largo, sentí que viví una vida entera.;Finally... I think I have woken up. It was a very long dream, I felt like I lived a whole lifetime.
intro_1;En realidad... creo que no he despertado. Sigo soñando. Un sueño lúcido, seguramente, ¿o no?;Actually... I think I haven't woken up. I'm still dreaming. A lucid dream this may be, or it isn't?
intro_2;Tal vez puedo seguir soñando un poco más.;Maybe I can dream a little longer.

int_statue;Estatua;Statue
int_exit;Salir;Exit
empty;;

tomb;Monumento de piedra;Stone monument
tomb1;<color=yellow>"Los sueños y el Cosmos son uno."</color>;<color=yellow>"The dreams and the Cosmos are one."</color>
tomb2;<color=yellow>"Incompleto"</color>;<color=yellow>"Incomplete"</color>
statue1;Esta extraña estatua... ¿soy yo?;This strange statue... it is I?

menu_play;Nuevo juego;New game
menu_exit;Cerrar;Exit
menu_credits;Créditos;Credits
menu_lang;Lenguaje: Español;Language: English
menu_continue;Continuar;Continue
menu_options;Opciones;Options

Scn_ama;Amaltea;Amaltea
Scn_gani;Jardín Ganímedes;Ganimedes Garden
Scn_cal;Prisión Calisto;Calisto Prison
Scn_tem;Celda Temisto;Temisto Cell

pause_resume;Continuar;Resume
pause_exit;Regresar al menú;Exit to menu
yes;Sí;Yes
no;No;No
resp_msg_statue_0;¿Ir al <color=yellow>Jardín Ganímedes</color>?;Go to <color=yellow>Ganymede Garden</color>?
calisto;<color=yellow>"Prisión Calisto"</color>;<color=yellow>"Callisto Prison"</color>

monster;???;???
monster_1;Deseo más... incompleto...;Craving more... incomplete...
monster_2;Ahh... gracias.;Ahh... thank you.


to_amal;¿Ir a <color=yellow>Amaltea</color>?;Go to <color=yellow>Amalthea</color>?
to_gani;¿Ir al <color=yellow>Jardín Ganímedes</color>?;Go to <color=yellow>Ganymede Garden</color>?
to_cali;¿Ir a la <color=yellow>Prisión Calisto</color>?;Go to <color=yellow>Callisto Prison</color>?
placeholder;placeholder;placeholder

eye_event_int;Notas viejas;Old notes
eye_event_1a;<color=yellow>"En los sueños los límites son difusos, pero una vez que son superados no hay vuelta atrás."</color>;<color=yellow>"In dreams, the limit between here and the beyond are blurry, but once you surpass them there's not turning back."</color>
eye_event_1b;<color=yellow>"Cuando se es más allá de la frontera del sueño, parásitos encuentran en la mente de uno hospedaje."</color>;<color=yellow>"When one is beyond the borders, parasites from nowhere find lodging in the brain."</color>
eye_event_2;<color=yellow>"... en el momento en el que <color=red>ellos</color> aparecen ante ti, ya se ha decidido tu destino."</color>;<color=yellow>"...by the time <color=red>they</color> appear before you, your fate has already been stealed."</color>
eye_event_3a;<color=yellow>"Capítulo 4: <color=red>En relación a los Sueños y Otros Mundos</color>"</color>;<color=yellow>"Chapter 4: <color=red>Regarding Dreams and Other Worlds</color>"</color>
eye_event_3b;...;...
eye_event_3c;<color=yellow>"... la exposición a lo prohibido crea umbrales que el ser humano es incapaz de percibir por diseño natural."</color>;<color=yellow>"... exposure to the forbidden creates portals that human beings can not naturally perceive by natural design."</color>

eye_event_3d;<color=yellow>"Emisarios de otros mundos, en su incansable búsqueda de carcasas, aprovechan la rara oportunidad de crear un vínculo psíquico con nuestro plano de existencia."</color>;<color=yellow>"Otherworldly emissaries, in their relentless pursuit of vessels, seize the rare chance to forge a psychic bond with our plane of existence"</color>

eye_revealed_1;<color=yellow>"... el mayor peligro del ritual es que los vínculos creados se cierren antes de terminar nuestras diligencias..."</color>;The greatest danger of the ritual is that the bonds created may close before we finish our duty.
