ID;ESP;ENG
0;Texto de ejemplo.;Example text.
1;El flujo del tiempo siempre es cruel... su velocidad parece diferente para cada persona, pero nadie lo puede cambiar...;The flow of time is always cruel... its speed seems different for each person, but no one can change it...
2;Una cosa que no cambia con el tiempo son las memorias de la juventud...;A thing that does not change with time is a memory of younger days...
3;El tiempo pasa, la gente se mueve. Como el flujo de un río, nunca termina. Una mentalidad infantil se convierte a la noble ambición.;Time passes, people move. Like a river's flow, it never ends. A childish mind will turn to noble ambition.
4;El amor de la juventud se convierte en profundo afecto.;Young love will become deep affection.
5;La superficie del agua cristalina refleja el crecimiento.;The clear water's surface reflects growth. 
6;Ahora escucha la <b><color=#0090FF>Serenata del agua</color></b> para que se refleje en ti mismo.;Now listen to the <b><color=#0090FF>Serenade of water</color></b> to reflect upon yourself.
7;Hay un snorlax tapando el camino…;ERROR
8;¿Vas a tocar la flauta pokémon?;ERROR
9;;
10;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
